device_size,DriverICIdx,LED_zone1,IC_current1,groupidx,name,LED_driverIC,device_type,customer,end_user,classIdx,index
14.4,7,665,7.4,45,Visteon MB BR223_14.4inch (直下式),由EE評估,Visteon MB BR223_14.4inch (直下式),Visteon,Benz,18,84
14.4,7,665,13.1,45,Visteon MB BR223_14.4inch (直下式),由EE評估,Visteon MB BR223_14.4inch (直下式),Visteon,Benz,18,85
14.4,7,665,8.5,45,Visteon MB BR223_14.4inch (直下式),由EE評估,Visteon MB BR223_14.4inch (直下式),Visteon,Benz,18,86
14.4,7,665,11.5,45,Visteon MB BR223_14.4inch (直下式),由EE評估,Visteon MB BR223_14.4inch (直下式),Visteon,Benz,18,87
14.4,7,665,7.4,45,Visteon MB BR223_14.4inch (直下式),由EE評估,Visteon MB BR223_14.4inch (直下式),Visteon,Benz,18,88
17.9,6,814,6.3,15,BOSCH BMW FPD BLU 17.9inch,TLC6C5748QDCARQ1,BOSCH BMW FPD BLU 17.9inch,BOSCH,BMW,5,89
14.62,6,456,8.1,14,BOSCH BMW FPD BLU 14.62inch,TLC6C5748QDCARQ1,BOSCH BMW FPD BLU 14.62inch,BOSCH,BMW,24,90
14.62,6,456,5.7,12,BHTC BMW FPD 14.62inch( 直下式DOB),TLC6C5748QDCARQ1,BHTC BMW FPD 14.62inch( 直下式DOB),BHTC,BMW,24,91
14.62,6,456,10.2,12,BHTC BMW FPD 14.62inch( 直下式DOB),TLC6C5748QDCARQ1,BHTC BMW FPD 14.62inch( 直下式DOB),BHTC,BMW,24,92
12.3,7,372,21.1,19,Continental BMW Motor 12.3,由EE評估,Continental BMW Motor 12.3,Continental,BMW,37,93
14.62,6,456,12.2,12,BHTC BMW FPD 14.62inch( 直下式DOB),TLC6C5748QDCARQ1,BHTC BMW FPD 14.62inch( 直下式DOB),BHTC,BMW,24,94
12.3,7,372,21.1,19,Continental BMW Motor 12.3,由EE評估,Continental BMW Motor 12.3,Continental,BMW,37,95
8,7,135,29,43,Visteon BMW MIC NEXT 8inch,由EE評估,Visteon BMW MIC NEXT 8inch Rd2.1,Visteon,BMW,41,96
12.3,7,250,29,42,Visteon BMW MIC NEXT 12.3inch,由EE評估,Visteon BMW MIC NEXT 12.3 inch Rd2.1,Visteon,BMW,39,97
39,6,168,25.6,35,SDTC 39inch 直下式BLU,TLC6C5748QDCARQ1,SDTC 39inch 直下式BLU,SDTC,Benz,28,98
12.3,7,240,29,42,Visteon BMW MIC NEXT 12.3inch,由EE評估,Visteon BMW MIC NEXT 12.3 inch Rd2.1 (第2款),Visteon,BMW,23,99
8,7,144,29,43,Visteon BMW MIC NEXT 8inch,由EE評估,Visteon BMW MIC NEXT 8inch Rd2.1 (第2款),Visteon,BMW,41,100
12.8,7,675,5.5,27,JDI 12.8 直下BLU DOB,由EE評估,JDI 12.8 直下BLU DOB,JDI,DDP 技研新陽(東莞),18,101
